#separator:tab
#html:true
#notetype:Basic
#deck column:1
#tags column:4
Optionshandel Grundlagen::Grundlagen	Welche Option kaufst du, je nach Markterwartung (steigend/fallend)?	<img src="01_call_put_entscheidung.png"><br><br>Steigende Kurse erwartet → <b>Call</b> (Recht zu kaufen).<br>Fallende Kurse erwartet → <b>Put</b> (Recht zu verkaufen).	diagramm grundlagen call put
Optionshandel Grundlagen::Käufer & Verkäufer	Wie sehen die <b>vier Grundpositionen</b> eines Optionsgeschäfts aus?	<img src="02_vier_grundpositionen.png"><br><br>Käufer (Long): <b>Long Call</b> / <b>Long Put</b>.<br>Verkäufer (Short): <b>Short Call</b> / <b>Short Put</b>.<br>Käufer hat das Recht, Verkäufer die Pflicht.	diagramm positionen
Optionshandel Grundlagen::Preis & Griechen	Woraus setzt sich der <b>Optionspreis</b> zusammen?	<img src="03_preis_bausteine.png"><br><br>Prämie = <b>Innerer Wert</b> (Abstand Kurs–Strike, nur ITM) + <b>Zeitwert</b> (Restlaufzeit → Theta, IV → Vega, Zins → Rho).	diagramm preis
Optionshandel Grundlagen::Strategien	Wie läuft ein <b>Cash-Secured Put</b> ab (beide Ausgänge)?	<img src="04_cash_secured_put.png"><br><br>Kurs über Strike → Put verfällt wertlos, Prämie bleibt.<br>Kurs unter Strike → Andienung, du kaufst die Aktien zum Wunschpreis (Einstand sinkt um die Prämie).	diagramm strategien csp
Optionshandel Grundlagen::Strategien	Wie läuft ein <b>Covered Call</b> ab (beide Ausgänge)?	<img src="05_covered_call.png"><br><br>Kurs unter Strike → Call verfällt wertlos, du behältst Aktien + Prämie.<br>Kurs über Strike → Aktien werden zum Strike verkauft, Gewinn nach oben gedeckelt.	diagramm strategien covered-call
Optionshandel Grundlagen::Strategien	Wie funktioniert der Kreislauf <b>„The Wheel“</b>?	<img src="06_the_wheel.png"><br><br>1) Cash-Secured Put verkaufen → bei Andienung Aktien im Depot.<br>2) Covered Call verkaufen → bei Andienung Aktien verkauft → zurück zu 1.<br>In jeder Runde Prämien kassieren.	diagramm strategien wheel
Optionshandel Grundlagen::IBKR-Umsetzung	Welchen <b>Kontotyp</b> wählst du bei IBKR – und warum?	<img src="07_kontotyp.png"><br><br><b>Cash-Konto:</b> nur eigenes Geld, konservativ.<br><b>Margin-Konto:</b> nötig für die meisten Optionsstrategien (z.&nbsp;B. Puts verkaufen), aber mehr Risiko.	diagramm ibkr konto
Optionshandel Grundlagen::IBKR-Umsetzung	Wie gibst du bei IBKR Schritt für Schritt eine <b>Option-Order</b> auf?	<img src="08_order_ablauf.png"><br><br>Basiswert → Optionskette → Verfall (30–45 Tage) → Strike (z.&nbsp;B. Delta ~0,30) → Sell → <b>Limit</b>-Order nahe Mid → prüfen (×100!) → Transmit.	diagramm ibkr order
Optionshandel Grundlagen::Verfall & Andienung	Wie läuft <b>Ausübung und Andienung</b> ab?	<img src="09_andienung_sequence.png"><br><br>Käufer übt aus (Exercise) → Clearingstelle (OCC) teilt dem Stillhalter die Pflicht zu (Assignment) → Stillhalter liefert/kauft 100 Aktien zum Strike. Die Prämie bleibt dem Stillhalter.	diagramm verfall andienung
Optionshandel Grundlagen::Risikomanagement	Was sind die Säulen des <b>Risikomanagements</b>?	<img src="10_risikomanagement.png"><br><br>Positionsgröße klein · Diversifikation · nur Wunsch-Aktien · Timing bei hoher Volatilität · Gewinne früh mitnehmen (z.&nbsp;B. 50&nbsp;%).	diagramm risiko
